DATAFLOW,LAST UPDATE,freq,unit,sex,indic_he,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,EL,2019,66.0,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,EL,2020,65.9,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,EL,2021,65.6,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,ES,2004,62.7,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,ES,2005,63.3,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,ES,2006,63.8,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,ES,2007,63.4,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,ES,2008,63.8,b
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,ES,2009,62.7,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,ES,2010,64.2,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,ES,2011,65.5,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,ES,2012,65.3,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,ES,2013,64.3,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,ES,2014,65.0,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,ES,2015,64.0,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,ES,2016,66.2,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,ES,2017,69.4,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,ES,2018,68.0,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,ES,2019,69.9,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,ES,2020,66.3,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,ES,2021,62.8,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,FI,2004,53.2,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,FI,2005,52.1,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,FI,2006,52.9,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,FI,2007,57.3,b
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,FI,2008,59.1,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,FI,2009,58.4,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,FI,2010,58.2,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,FI,2011,58.0,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,FI,2012,56.7,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,FI,2014,58.2,
